Lot Number,Title,Description,Low Estimate,High Estimate,Reserve Price,Start Price,Condition
         1,HAMMERED WHITE BRASS COMPOTE WITH AGATE ACCENTS,HAMMERED WHITE BRASS COMPOTE WITH AGATE ACCENTS.  Height: 12 in. by Width: 15.25 in. by Depth: 15.25,200,300,1,1,
         2,HAND CARVED WOODEN SCULPTURE,HAND CARVED WOODEN SCULPTURE. Height: 12.5 in. by  Width: 6 in. by Depth: 9 in.,100,300,1,1,
         3,ANTIQUED CATHEDRAL THREE PANEL MIRROR  BY VALERIE,ANTIQUED CATHEDRAL THREE PANEL MIRROR  BY VALERIE.  Height: 37.5 in. by Width: 33 in.,300,500,1,1,
         4,ROYAL WORCESTER BLUE TIT HEN PORCELAIN FIGURE,ROYAL WORCESTER BLUE TIT HEN PORCELAIN FIGURE.HAS  DAMAGE BROKE LEAF (SOLD AS IS)      (34) Height: 8  in. by Width: 6 in. by Depth: 5 IN.,300,500,1,1,HAS DAMAGE BROKE LEAF
         5,ROYAL WORCESTERBLUE TIT PARU BIRD PORCELAIN FIGURE,ROYAL WORCESTER BLUE TIT PARU BIRD PORCELAIN  FIGURE. (22) Height: 8 in. by Width: 6 in. by  Depth: 5 IN.,300,500,1,1,
         6,ROYAL WORCESTER BEWICKS WREN PORCELAIN FIGURE,ROYAL WORCESTER BEWICKS WREN PORCELAIN FIGURE.  Height: 9.25 in. by Width: 8.25 in.,300,500,1,1,
         7,LOT OF FIVE ELECTROPLATED SILVER TRIVETS,LOT OF FIVE ELECTROPLATED SILVER TRIVETS. in. by  Width: 9.25 in. by Depth: 9.25,10,150,1,1,
         8,THREE SILVER PLATED TUREENS WITH UNDER PLATTERS,LOT OF THREE SILVER PLATED TUREENS WITH UNDER  PLATTERS. Height: 9.25 in. by Width: 3.5 in. by  Depth: 6.75 in.,200,300,1,1,
         9,PAIR OF ANTIQUE CANDELABRAS,PAIR OF ANTIQUE SILVER PLATE OVER COPPER  CANDELABRAS Height: 11.5 in. by Width: 12.5 in. by  Depth: 4.5 in.,150,250,1,1,
        10,MIXED LOT OF TWELVE DECORATIVE PIECES,MIXED LOT OF TWELVE DECORATIVE PIECES.,200,400,1,1,
